City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
6,Georgetown,MY,80.53,light rain,5.4112,100.3354,Cititel Penang
7,Nicoya,CR,87.35,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
10,Kupang,ID,80.44,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
11,San Patricio,US,72.18,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
16,Grand Gaube,MU,76.37,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
20,Chahal,GT,77.72,overcast clouds,15.75,-89.5667,HOTEL MY WONDERFUL DAYS
22,Ixtapa,MX,85.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
24,Rikitea,PF,73.35,clear sky,-23.1203,-134.9692,People ThankYou
25,Lucea,JM,84.85,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
30,Hilo,US,80.33,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
31,Rio Tercero,AR,86.7,few clouds,-32.173,-64.1141,"Hotel Vélez Sarsfield ""Low Cost"""
37,Saint George,US,72.07,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
39,Souillac,MU,76.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
41,French Harbor,HN,84.2,broken clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
43,Conceicao Do Araguaia,BR,82.42,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
49,Makasar,ID,78.75,overcast clouds,-5.14,119.4221,Hotel Horison Ultima Makassar
51,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
54,Vieques,PR,84.9,few clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
56,Kapaa,US,80.92,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
57,Sumbe,AO,78.04,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
59,Kudahuvadhoo,MV,82.31,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
61,Acajutla,SV,86.38,overcast clouds,13.5928,-89.8275,asi es
64,Kandri,IN,72.97,overcast clouds,21.4167,79.2667,OYO 69410 Sip & Bite Restaurant N Lodging
