City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,General Roca,AR,-39.0333,-67.5833,91.62,18,1,13.56,clear sky
1,Vaini,TO,-21.2,-175.2,80.76,78,20,2.3,few clouds
2,Te Anau,NZ,-45.4167,167.7167,53.38,94,100,5.19,overcast clouds
3,Albany,US,42.6001,-73.9662,40.86,71,55,3.0,broken clouds
4,Ginir,ET,7.1333,40.7,57.07,39,5,6.87,clear sky
5,Poya,NC,-21.35,165.15,76.87,72,47,9.6,scattered clouds
6,Georgetown,MY,5.4112,100.3354,80.53,93,40,5.99,light rain
7,Nicoya,CR,10.1483,-85.452,87.35,76,53,5.39,broken clouds
8,Cherskiy,RU,68.75,161.3,-11.27,96,44,3.8,scattered clouds
9,Saskylakh,RU,71.9167,114.0833,-19.52,98,80,7.05,broken clouds
10,Kupang,ID,-10.1667,123.5833,80.44,82,100,4.29,overcast clouds
11,San Patricio,US,28.017,-97.5169,72.18,42,0,5.86,clear sky
12,Tete,MZ,-16.1564,33.5867,89.69,55,75,14.0,broken clouds
13,Ushuaia,AR,-54.8,-68.3,46.06,61,40,37.98,scattered clouds
14,Khalkhal,IR,37.6189,48.5258,36.3,55,33,4.03,scattered clouds
15,College,US,64.8569,-147.8028,-5.71,77,1,0.0,mist
16,Grand Gaube,MU,-20.0064,57.6608,76.37,68,15,5.99,few clouds
17,Pipri,IN,19.8,75.5333,71.49,68,99,4.12,overcast clouds
18,Carman,CA,49.4992,-98.0016,34.12,80,92,11.5,overcast clouds
19,Barrow,US,71.2906,-156.7887,12.22,79,90,8.05,overcast clouds
20,Chahal,GT,15.75,-89.5667,77.72,79,100,1.3,overcast clouds
21,Esperance,AU,-33.8667,121.9,51.64,62,99,5.41,overcast clouds
22,Ixtapa,MX,20.7,-105.2,85.23,61,0,5.99,clear sky
23,Yellowknife,CA,62.456,-114.3525,1.92,85,75,10.36,broken clouds
24,Rikitea,PF,-23.1203,-134.9692,73.35,65,5,7.47,clear sky
25,Lucea,JM,18.451,-78.1736,84.85,67,89,12.55,overcast clouds
26,Mar Del Plata,AR,-38.0023,-57.5575,60.82,86,0,8.99,clear sky
27,Yulara,AU,-25.2406,130.9889,67.84,60,4,6.91,clear sky
28,Dikson,RU,73.5069,80.5464,-11.13,95,99,1.59,overcast clouds
29,West Wendover,US,40.7391,-114.0733,42.01,33,90,5.75,overcast clouds
30,Hilo,US,19.7297,-155.09,80.33,78,1,6.91,clear sky
31,Rio Tercero,AR,-32.173,-64.1141,86.7,22,16,8.97,few clouds
32,Bonavista,CA,48.6499,-53.1147,51.8,90,100,31.05,light rain
33,Grindavik,IS,63.8424,-22.4338,39.67,93,75,12.66,broken clouds
34,Port Alfred,ZA,-33.5906,26.891,61.83,76,33,3.74,scattered clouds
35,Stephenville,US,32.2207,-98.2023,66.29,23,1,9.22,clear sky
36,Qurayyat,SA,31.3318,37.3428,60.98,72,40,4.61,scattered clouds
37,Saint George,US,37.1041,-113.5841,72.07,27,1,1.01,clear sky
38,Severo-Kurilsk,RU,50.6789,156.125,35.82,94,100,28.77,light rain
39,Souillac,MU,-20.5167,57.5167,76.35,69,40,11.5,scattered clouds
40,Lithakia,GR,37.7167,20.8333,58.59,73,39,7.23,scattered clouds
41,French Harbor,HN,16.35,-86.4333,84.2,82,75,4.0,broken clouds
